"(124, 102, 83)",NULL,"(33, 32, 34)"
"(20, 20, 20)",NULL,"(20, 20, 20)"
NULL,NULL,"(42, 38, 37)"
"(200, 199, 203)",NULL,"(202, 201, 206)"
"(80, 78, 83)",NULL,"(35, 33, 36)"
NULL,NULL,"(250, 249, 247)"
"(62, 92, 130)",NULL,"(34, 31, 34)"
"(119, 122, 127)",NULL,"(123, 126, 128)"
NULL,NULL,"(16, 22, 29)"
"(24, 36, 58)",NULL,"(41, 48, 62)"
"(125, 63, 86)",NULL,NULL
"(32, 30, 29)",NULL,"(227, 221, 217)"
"(49, 42, 31)","(47, 39, 29)","(52, 44, 33)"
"(222, 223, 220)",NULL,"(19, 27, 43)"
"(180, 129, 100)","(32, 33, 37)","(135, 149, 159)"
"(250, 236, 209)",NULL,"(249, 233, 206)"
"(2, 6, 8)",NULL,"(31, 49, 38)"
"(87, 97, 130)","(95, 106, 138)","(95, 105, 137)"
NULL,NULL,"(84, 84, 91)"
NULL,NULL,"(233, 226, 214)"
"(47, 47, 48)",NULL,"(150, 164, 139)"
NULL,NULL,NULL
"(12, 6, 3)",NULL,"(241, 241, 237)"
"(209, 199, 187)","(149, 143, 138)","(149, 143, 138)"
"(182, 164, 154)","(16, 14, 20)","(38, 37, 46)"
NULL,NULL,"(6, 7, 11)"
"(234, 235, 230)",NULL,"(32, 31, 33)"
"(234, 213, 181)",NULL,"(43, 64, 95)"
"(39, 36, 35)",NULL,"(38, 37, 38)"
"(34, 49, 57)",NULL,"(162, 147, 130)"
"(75, 104, 142)",NULL,"(41, 39, 36)"
NULL,"(160, 140, 126)","(160, 140, 126)"
"(118, 141, 159)",NULL,"(236, 235, 233)"
"(88, 65, 42)","(17, 17, 13)","(17, 17, 13)"
"(30, 30, 30)","(29, 28, 27)","(206, 205, 201)"
"(254, 254, 254)",NULL,"(249, 241, 223)"
"(24, 22, 28)",NULL,"(238, 235, 231)"
"(109, 93, 92)","(201, 193, 188)","(50, 56, 82)"
"(163, 153, 135)",NULL,"(198, 194, 186)"
NULL,NULL,"(250, 249, 248)"
NULL,"(95, 98, 105)","(218, 219, 226)"
"(171, 183, 194)",NULL,"(239, 236, 232)"
"(153, 145, 138)",NULL,"(30, 30, 30)"
"(24, 24, 26)","(32, 35, 39)","(33, 36, 40)"
"(224, 225, 221)","(140, 158, 225)",NULL
"(46, 58, 72)","(74, 77, 71)","(75, 77, 71)"
"(114, 139, 156)",NULL,"(34, 34, 34)"
"(207, 208, 213)",NULL,"(180, 164, 142)"
"(241, 241, 238)","(238, 200, 178)",NULL
"(18, 19, 23)",NULL,"(247, 246, 240)"
"(160, 150, 118)","(177, 161, 106)","(188, 172, 113)"
"(26, 29, 36)",NULL,NULL
"(65, 123, 76)",NULL,"(233, 231, 226)"
NULL,"(93, 112, 137)","(31, 33, 36)"
"(211, 212, 207)","(226, 219, 236)","(225, 217, 234)"
"(75, 80, 97)",NULL,"(192, 189, 186)"
"(27, 27, 32)",NULL,"(37, 37, 43)"
"(6, 152, 169)",NULL,"(197, 188, 181)"
"(13, 13, 15)","(13, 13, 14)","(9, 9, 11)"
"(212, 215, 207)","(39, 40, 43)","(36, 37, 40)"
"(238, 235, 234)",NULL,"(35, 90, 97)"
"(8, 8, 10)","(167, 149, 141)","(190, 185, 183)"
"(154, 122, 150)",NULL,"(152, 119, 147)"
"(24, 23, 25)",NULL,"(70, 44, 73)"
"(44, 48, 56)","(44, 49, 59)","(44, 49, 59)"
"(179, 205, 238)",NULL,"(34, 44, 70)"
NULL,NULL,"(233, 235, 230)"
NULL,NULL,"(227, 188, 157)"
"(16, 14, 14)",NULL,"(193, 188, 180)"
NULL,NULL,"(18, 18, 21)"
"(56, 57, 62)","(184, 176, 172)","(182, 174, 170)"
"(216, 209, 199)",NULL,"(11, 11, 12)"
"(40, 44, 50)",NULL,"(151, 132, 149)"
"(6, 8, 7)",NULL,"(125, 125, 111)"
"(254, 254, 254)",NULL,"(254, 254, 254)"
